,Test,Die,VDD (V),,,,,,,VG1 (V),IDD (A),,,,,,,,,,,,,,,
693862,TCC2,X17,5,#,#,#,#,#,#,-0.399375,0.05754,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X18,5,#,#,#,#,#,#,-0.399375,0.05815,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X19,5,#,#,#,#,#,#,-0.399375,0.05771,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X20,5,#,#,#,#,#,#,-0.3925,0.05806,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X25,5,#,#,#,#,#,#,-0.3925,0.05824,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X26,5,#,#,#,#,#,#,-0.399375,0.05822,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X27,5,#,#,#,#,#,#,-0.399375,0.05767,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X28,5,#,#,#,#,#,#,-0.3925,0.0583,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X29,5,#,#,#,#,#,#,-0.385625,0.05807,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X30,5,#,#,#,#,#,#,-0.3925,0.05767,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X35,5,#,#,#,#,#,#,-0.3925,0.05834,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X36,5,#,#,#,#,#,#,-0.3925,0.05821,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X37,5,#,#,#,#,#,#,-0.3925,0.05771,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X38,5,#,#,#,#,#,#,-0.3925,0.05791,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X39,5,#,#,#,#,#,#,-0.3925,0.05756,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X40,5,#,#,#,#,#,#,-0.3890625,0.05794,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X45,5,#,#,#,#,#,#,-0.385625,0.0579,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X46,5,#,#,#,#,#,#,-0.385625,0.05801,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X47,5,#,#,#,#,#,#,-0.37875,0.0579,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X48,5,#,#,#,#,#,#,-0.371875,0.05844,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X49,5,#,#,#,#,#,#,-0.371875,0.05854,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X50,5,#,#,#,#,#,#,-0.371875,0.05794,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X55,5,#,#,#,#,#,#,-0.371875,0.05751,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X56,5,#,#,#,#,#,#,-0.371875,0.05837,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
